 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [30/Jun/2026 11:39:46] "GET /health HTTP/1.1" 200 -
127.0.0.1 - - [30/Jun/2026 11:39:47] "GET /responses HTTP/1.1" 200 -
127.0.0.1 - - [30/Jun/2026 11:40:00] "GET /responses HTTP/1.1" 200 -
127.0.0.1 - - [30/Jun/2026 11:40:56] "GET /responses?refresh=1 HTTP/1.1" 200 -
127.0.0.1 - - [30/Jun/2026 11:40:57] "GET /static/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2026 11:40:57] "GET /static/musharp-logo.svg HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2026 11:52:37] "GET /responses?refresh=1 HTTP/1.1" 200 -
127.0.0.1 - - [30/Jun/2026 11:52:37] "GET /static/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jun/2026 11:52:37] "GET /static/musharp-logo.svg HTTP/1.1" 200 -
127.0.0.1 - - [30/Jun/2026 11:52:38] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [30/Jun/2026 11:53:24] "GET /responses?refresh=1 HTTP/1.1" 200 -
127.0.0.1 - - [30/Jun/2026 11:53:24] "GET /static/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2026 11:53:24] "GET /static/musharp-logo.svg HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2026 11:54:34] "GET /responses?refresh=1 HTTP/1.1" 200 -
127.0.0.1 - - [30/Jun/2026 11:54:34] "GET /static/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jun/2026 11:54:34] "GET /static/musharp-logo.svg HTTP/1.1" 200 -
127.0.0.1 - - [30/Jun/2026 11:54:35] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [30/Jun/2026 11:54:39] "GET /responses?refresh=1 HTTP/1.1" 200 -
127.0.0.1 - - [30/Jun/2026 11:56:56] "GET /responses?refresh=1 HTTP/1.1" 200 -
127.0.0.1 - - [30/Jun/2026 11:56:56] "GET /static/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2026 11:56:56] "GET /static/musharp-logo.svg HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2026 11:58:33] "GET /responses?refresh=1 HTTP/1.1" 200 -
127.0.0.1 - - [30/Jun/2026 11:58:33] "GET /static/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2026 11:58:33] "GET /static/musharp-logo.svg HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2026 12:18:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jun/2026 12:18:41] "GET /static/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2026 12:18:41] "GET /static/musharp-logo.svg HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2026 12:18:42] "GET /assets/data/email_images/dentists/Danstist3.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2026 12:18:42] "GET /assets/dentist_chatbot.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2026 12:18:42] "GET /assets/dentist_seo.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2026 12:18:42] "GET /assets/dentist_location.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2026 12:18:42] "GET /assets/dentist_services.png HTTP/1.1" 304 -
127.0.0.1 - - [30/Jun/2026 12:18:42] "GET /favicon.ico HTTP/1.1" 404 -
